# x l forward_absolute forward_relative backward_absolute backward_relative
0.99 4 4.44089209850062616e-16 4.92211473556772462e-16 8.06763249708003394e-01 8.94185490533081273e-01
0.99 5 4.44089209850062616e-16 5.19293021103602554e-16 7.77853295771905984e-01 9.09578028417233897e-01
0.99 6 3.33066907387546962e-16 4.16181748652232495e-16 7.34371597132748022e-01 9.17629607373798062e-01
0.99 7 3.33066907387546962e-16 4.51076586475169842e-16 6.79883014396940655e-01 9.20773882167097435e-01
0.99 8 2.22044604925031308e-16 3.31228704503714536e-16 6.16675511658897335e-01 9.19908100874174295e-01
0.99 9 2.22044604925031308e-16 3.71781111480270959e-16 5.46472400092871013e-01 9.14987852861430029e-01
0.99 10 3.33066907387546962e-16 6.40403623575575115e-16 4.70711882496548828e-01 9.05060180176101570e-01
0.99 11 3.88578058618804789e-16 8.83096199108954280e-16 3.90652677666170567e-01 8.87811051516833150e-01
0.99 12 3.88578058618804789e-16 1.08485141209184535e-15 3.07390839704716201e-01 8.58188925291062166e-01
0.99 13 4.44089209850062616e-16 1.61042029049050562e-15 2.21806097203168184e-01 8.04345234172865520e-01
0.99 14 4.71844785465691530e-16 2.43340063762757453e-15 1.34405378215773696e-01 6.93156188486945046e-01
0.99 15 4.30211422042248159e-16 3.78189968896489245e-15 4.49293122417083191e-02 3.94964297288314947e-01
0.99 16 4.02455846426619246e-16 1.10526703332331256e-14 4.87704990082005879e-02 1.33938729505622800e+00
0.99 17 3.60822483003175876e-16 9.72894050127901153e-15 1.54869758929251172e-01 4.17578931758763705e+00
0.99 18 3.19189119579732505e-16 3.01739117639235734e-15 3.12067789509331950e-01 2.95007109183904737e+00
0.99 19 2.77555756156289135e-16 1.64425650932774482e-15 1.29359879522519261e+00 7.66335481188814693e+00
0.99 20 2.77555756156289135e-16 1.23149805879885115e-15 7.77890610344799671e-02 3.45145346601296810e-01
0.99 21 2.22044604925031308e-16 8.07835822915847820e-16 1.43629926876325503e-01 5.22549963385304239e-01
0.99 22 2.22044604925031308e-16 7.01064539179736581e-16 2.33217225235521020e-01 7.36340009673821294e-01
0.99 23 1.66533453693773481e-16 4.75036989840800448e-16 2.89066832444414001e-01 8.24563683160698280e-01
0.99 24 1.11022302462515654e-16 2.95163381258638846e-16 3.27043926323435596e-01 8.69477474098667824e-01
0.99 25 5.55111512312578270e-17 1.41137549969262882e-16 3.51990113402215310e-01 8.94937703814325913e-01
0.99 26 1.11022302462515654e-16 2.76098742898533880e-16 3.65949533492799739e-01 9.10071255239733090e-01
0.99 27 1.66533453693773481e-16 4.13552348049934517e-16 3.70050756298340389e-01 9.18946648679001110e-01
0.99 28 2.22044604925031308e-16 5.61656563904005633e-16 3.65098128934992383e-01 9.23507061361133030e-01
0.99 29 2.77555756156289135e-16 7.29506819147106837e-16 3.51793840362428167e-01 9.24628654913683845e-01
0.99 30 2.77555756156289135e-16 7.73965639345173887e-16 3.30828285630247743e-01 9.22516359045002843e-01
0.99 31 3.33066907387546962e-16 1.00804685488001589e-15 3.02914548656353311e-01 9.16788943295221204e-01
0.99 32 3.33066907387546962e-16 1.12303388706007901e-15 2.68794430860077815e-01 9.06320165148239099e-01
0.99 33 3.33066907387546962e-16 1.29130287170713580e-15 2.29225580793580436e-01 8.88709277872118064e-01
0.99 34 2.22044604925031308e-16 1.03114492602929578e-15 1.84949874984361440e-01 8.58882048605802084e-01
0.99 35 1.38777878078144568e-16 8.17703354773154608e-16 1.36633270048192951e-01 8.05066951874866876e-01
0.99 36 8.32667268468867405e-17 6.82427696848869523e-16 8.47466769702514416e-02 6.94556898900922315e-01
0.99 37 2.77555756156289135e-17 3.79194487861669735e-16 2.92965193254100947e-02 4.00246739450540123e-01
0.99 38 1.04083408558608426e-17 4.29796648768401378e-16 3.09127995929925035e-02 1.27649717213440717e+00
0.99 39 3.81639164714897561e-17 1.59118385897130531e-15 1.00925019181209330e-01 4.20790831589515069e+00
0.99 40 6.93889390390722838e-17 9.84137348262236788e-16 2.04704409969411499e-01 2.90330502230973231e+00
0.99 41 1.11022302462515654e-16 9.69606021795701353e-16 7.34711883783334962e-01 6.41655821398322690e+00
0.99 42 1.66533453693773481e-16 1.07311254471992118e-15 7.19304014822872984e-02 4.63506967911210432e-01
0.99 43 2.77555756156289135e-16 1.44667038168926401e-15 9.63479406637370722e-02 5.02182747081985847e-01
0.99 44 3.88578058618804789e-16 1.73548010483566226e-15 1.63152351401860629e-01 7.28676397533947862e-01
0.99 45 4.44089209850062616e-16 1.77064842810666951e-15 2.05855523362817039e-01 8.20775985488394921e-01
0.99 46 4.44089209850062616e-16 1.63170216337737314e-15 2.36062828737670038e-01 8.67357773620052286e-01
0.99 47 4.44089209850062616e-16 1.54368857922673853e-15 2.57099799732409540e-01 8.93698868978152317e-01
0.99 48 3.88578058618804789e-16 1.30754666097806439e-15 2.70249395822190763e-01 9.09376346144378456e-01
0.99 49 2.77555756156289135e-16 9.23324970262667485e-16 2.76147663536010224e-01 9.18640768807973074e-01
0.99 50 2.77555756156289135e-16 9.31370840575158321e-16 2.75217986981006635e-01 9.23526182363034964e-01
